zstate1,zcity3,数据条数,推理,省,市全称,市简称,区全称,区简称,翻译过程,province,province_clean,city,cityshort,town,townshort,provinceshortname,provincename,cityname,cityshortname,citypinyin,cityshortpinyin,provincepinyin
No Data,No Data,2210,省输入No Data，无法确定，返回原输入。市输入No Data，无法确定，返回原输入。区无数据返回null。,No Data,No Data,No Data,null,null,省No Data非中文返回null，市全称No Data非中文返回null，市简称No Data非中文返回null，区全称null返回null，区简称null返回null,null,null,null,null,null,null,"'No Data'as sheng,  'No Data' as shi",,,,,,
hubei,shaodong,2,hubei指湖北。shaodong在湖北省内无对应地级行政区，无法确定隶属关系，返回原输入。,湖北,shaodong,shaodong,null,null,湖北拼音hubei，市全称shaodong非中文返回null，市简称shaodong非中文返回null，区全称null返回null，区简称null返回null,hubei,hubei,null,null,null,null,"'hubei'as sheng,  'shaodong' as shi",,,,,,
jiangxi,zhancai,2,jiangxi指江西。zhancai在江西省内无对应地级行政区，无法确定隶属关系，返回原输入。,江西,zhancai,zhancai,null,null,江西拼音jiangxi，市全称zhancai非中文返回null，市简称zhancai非中文返回null，区全称null返回null，区简称null返回null,jiangxi,jiangxi,null,null,null,null,"'jiangxi'as sheng,  'zhancai' as shi",,,,,,
shandong,jiulinzi,295,shandong指山东。jiulinzi在山东省内无对应地级行政区，无法确定隶属关系，返回原输入。,山东,jiulinzi,jiulinzi,null,null,山东拼音shandong，市全称jiulinzi非中文返回null，市简称jiulinzi非中文返回null，区全称null返回null，区简称null返回null,shandong,shandong,null,null,null,null,"'shandong'as sheng,  'jiulinzi' as shi",,,,,,
shaanxi,shagedu,,shaanxi指陕西。shagedu在陕西省内无对应地级行政区，无法确定隶属关系，返回原输入。,陕西,shagedu,shagedu,null,null,陕西拼音shaanxi(注意与山西shānxī区分)，市全称shagedu非中文返回null，市简称shagedu非中文返回null，区全称null返回null，区简称null返回null,shaanxi,shaanxi,null,null,null,null,"'shaanxi'as sheng,  'shagedu' as shi",,,,,,
hebei,tanghaizhensi team,8,hebei指河北。tanghaizhensi team无法对应有效行政区，返回原输入。区无数据返回null。,hebei,tanghaizhensi team,tanghaizhensi team,null,null,省hebei非中文返回null，市全称tanghaizhensi team非中文返回null，市简称tanghaizhensi team非中文返回null，区全称null返回null，区简称null返回null,null,null,null,null,null,null,"'hebei'as sheng,  'tanghaizhensi team' as shi",,,,,,
heilongjiang,horqin district,3,heilongjiang指黑龙江。horqin district属于内蒙古通辽市，与黑龙江省不匹配，返回原输入。,heilongjiang,horqin district,horqin district,null,null,省heilongjiang非中文返回null，市全称horqin district非中文返回null，市简称horqin district非中文返回null，区全称null返回null，区简称null返回null,null,null,null,null,null,null,"'heilongjiang'as sheng,  'horqin district' as shi",,,,,,
hunan,chenjia,5,hunan指湖南。chenjia在湖南无法确定具体地级行政区，返回原输入，区填充为null。,湖南,chenjia,chenjia,null,null,湖南拼音hunan，chenjia非中文返回null，chenjia非中文返回null，null非中文返回null，null非中文返回null,hunan,hunan,null,null,null,null,"'hunan'as sheng,  'chenjia' as shi",,,,,,
shaanxi,ejin horo banner,,shaanxi指陕西。ejin horo banner（伊金霍洛旗）实际隶属内蒙古鄂尔多斯市，与当前省份不符，返回原输入并填充区为null。,shaanxi,ejin horo banner,ejin horo banner,null,null,shaanxi非中文返回null，ejin horo banner非中文返回null，ejin horo banner非中文返回null，null非中文返回null，null非中文返回null,null,null,null,null,null,null,"'shaanxi'as sheng,  'ejin horo banner' as shi",,,,,,
jiangxi,yijia,2,jiangxi指江西。yijia无法匹配有效地级或县级行政区，返回原输入并填充区为null。,江西,yijia,yijia,null,null,江西拼音jiangxi，yijia非中文返回null，yijia非中文返回null，null非中文返回null，null非中文返回null,jiangxi,jiangxi,null,null,null,null,"'jiangxi'as sheng,  'yijia' as shi",,,,,,
hebei,miyun district,2,hebei指河北。miyun district（密云区）实际隶属北京市，与当前省份不符，返回原输入并填充区为null。,hebei,miyun district,miyun district,null,null,hebei非中文返回null，miyun district非中文返回null，miyun district非中文返回null，null非中文返回null，null非中文返回null,null,null,null,null,null,null,"'hebei'as sheng,  'miyun district' as shi",,,,,,
xinjiang uygur,No Data,1,xinjiang uygur指新疆维吾尔自治区，简称新疆。市为No Data无法识别，返回原输入。,新疆,No Data,No Data,null,null,新疆拼音xinjiang，No Data非中文返回null，No Data非中文返回null，null非中文返回null，null非中文返回null,xinjiang,xinjiang,null,null,null,null,"'xinjiang uygur'as sheng,  'No Data' as shi",,,,,,
inner mongolia,No Data,1,inner mongolia指内蒙古自治区，简称内蒙古。市为No Data无法识别，返回原输入。,内蒙古,No Data,No Data,null,null,内蒙古拼音neimenggu，No Data非中文返回null，No Data非中文返回null，null非中文返回null，null非中文返回null,neimenggu,inner mongolia,null,null,null,null,"'inner mongolia'as sheng,  'No Data' as shi",,,,,,
tibet,batang,1,tibet指西藏自治区，简称西藏。batang在西藏行政区划中无对应地级行政区，返回原输入。,西藏,batang,batang,null,null,西藏拼音xizang，batang非中文返回null，batang非中文返回null，null非中文返回null，null非中文返回null,xizang,tibet,null,null,null,null,"'tibet'as sheng,  'batang' as shi",,,,,,
heilongjiang,xin forested area,2,heilongjiang指黑龙江。xin forested area无法识别有效行政区名称，返回原输入。,黑龙江,xin forested area,xin forested area,null,null,黑龙江拼音heilongjiang，xin forested area非中文返回null，xin forested area非中文返回null，null非中文返回null，null非中文返回null,heilongjiang,heilongjiang,null,null,null,null,"'heilongjiang'as sheng,  'xin forested area' as shi",,,,,,
jilin,No Data,2,jilin指吉林。市为No Data无法识别，返回原输入。,吉林,No Data,No Data,null,null,吉林拼音jilin，No Data非中文返回null，No Data非中文返回null，null非中文返回null，null非中文返回null,jilin,jilin,null,null,null,null,"'jilin'as sheng,  'No Data' as shi",,,,,,
shanghai,qidong,3,shanghai指上海。qidong（启东）实际属于江苏省，不符合直辖市隶属关系，返回原输入。,上海,qidong,qidong,null,null,上海拼音shanghai，qidong非中文返回null，qidong非中文返回null，null非中文返回null，null非中文返回null,shanghai,shanghai,null,null,null,null,"'shanghai'as sheng,  'qidong' as shi",,,,,,
xinjiang uygur,xinxing,2,xinjiang uygur指新疆维吾尔自治区。xinxing在新疆行政区划中无明确对应地级行政区，返回原输入。,新疆,xinxing,xinxing,null,null,新疆拼音xinjiang，xinxing非中文返回null，xinxing非中文返回null，null非中文返回null，null非中文返回null,xinjiang,xinjiang,null,null,null,null,"'xinjiang uygur'as sheng,  'xinxing' as shi",,,,,,
chongqing,hejiang county,1,chongqing指重庆。hejiang county（合江）实际隶属四川省，不符合直辖市隶属关系，返回原输入。,重庆,hejiang county,hejiang county,null,null,重庆拼音chongqing，hejiang county非中文返回null，hejiang county非中文返回null，null非中文返回null，null非中文返回null,chongqing,chongqing,null,null,null,null,"'chongqing'as sheng,  'hejiang county' as shi",,,,,,
